"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"SUPPLIER";"TP_SIGNAL_NAME";
"1";"";"JP3Q";"JP3Q";"JP1";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"M02-JST-2MM-SMT";"JST-2-SMD";"JP3, JP6";"Header 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"PINHD-1X2";"1X02";"JP2, JP4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";".1uF";"C-EUC0603";"C0603";"C13, C16, C19, C25, C29, C32";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0";"R-EU_R0805";"R0805";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19";"0.1uF";"C-EUC0603";"C0603";"C1, C2, C3, C4, C7, C8, C9, C10, C11, C27, C34, C36, C38, C39, C41, C44, C46, C48, C49";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"100K";"R-US_R0805";"R0805";"R1_H, R2_H, R6_H, R7_H";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10k";"R-US_R0805";"R0805";"R10, R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";
"2";"10k";"R-US_R0805";"R0805";"R3, R_HG3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23";"10uF";"C-EUC0603";"C0603";"C5, C6, C14, C15, C17, C18, C20, C21, C22, C23, C24, C30, C31, C33, C35, C37, C40, C42, C43, C45, C47, C50, C51";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"161";"R-US_R0805";"R0805";"RX_DAC";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"177";"R-US_R0805";"R0805";"RY_DAC";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1k";"R-US_R0805";"R0805";"R2_DAC, R3_DAC, RF_DAC, RG_DAC";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k";"R-US_R0805";"R0805";"R_HG1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"304";"R-US_R0805";"R0805";"R1_DAC";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"353";"R-US_R0805";"R0805";"R4_DAC";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"5k";"R-US_R0805";"R0805";"R_HG2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"7.87k";"R-US_R0805";"R0805";"R_SET1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AD9954YSVZ";"AD9954YSVZ";"QFP50P900X900X120-49N";"U1";"Direct Digital Synthesizer";"";"";"";"";"";"";"";"AD9954YSVZ";"1581969";"19M8953";"TQFP-48";"";"";"";"";"ANALOG DEVICES";"";
"2";"ADUM240D0BRIZ";"ADUM240D0BRIZ";"SOIC127P1032X265-16N";"U7, U8";"Digital Isolator CMOS 4-CH 150Mbps 16-Pin SOIC W Tube";"Digital Isolator CMOS 4-CH 150Mbps 16-Pin SOIC W Tube";"2.65mm";"Analog Devices";"ADUM240D0BRIZ";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADUM5028-5BRIZ";"ADUM5028-5BRIZ";"SOIC127P1031X265-8N";"PS1";"Switching Voltage Regulators isoPower 3kV,";"Switching Voltage Regulators isoPower 3kV,";"2.65mm";"Analog Devices";"ADUM5028-5BRIZ";"";"584-ADUM5028-5BRIZ";"https://www.mouser.com/Search/Refine.aspx?Keyword=584-ADUM5028-5BRIZ";"";"";"";"";"";"";"";"";"";"";
"1";"ARDUINO_DUE_SHIELD_NODEBUG_ANALOG_DIGI";"ARDUINO_DUE_SHIELD_NODEBUG_ANALOG_DIGI";"ARDUINO_DUE_SHIELD_NODEBUG_ANALOG_DIG";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"BLM15HD182SN1";"BLM15HD182SN1";"0402";"L1, L2";"EMIFIL (R) Chip Ferrite Bead for GHz Noise";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"IND DSUB";"DSUB9RA";"DSUB9";"DSUB3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"IND_BK";"PINHD-2X5";"2X05";"JP5";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LTC1044CS8PBF";"LTC1044CS8PBF";"SOIC127P600X175-8N";"U6";"Switched Capacitor Voltage Converter";"";"";"";"";"";"";"";"LTC1044CS8#PBF";"1663593";"55M8900";"SOIC-8";"";"";"";"";"Linear Technology";"";
"1";"LTC6900_LTC69000";"LTC6900_LTC69000";"LTC6900_SOT23-5L";"U2";"Low Power, 1kHz to 20MHz";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"OPA2188AIDGKR";"OPA2188AIDGKR";"SOP65P490X110-8N";"IC3";"0.03V/C, 6V Vos, Low Noise, Rail-to-Rail Output, 36V Zero-Drift Operational Amplifier";"0.03V/C, 6V Vos, Low Noise, Rail-to-Rail Output, 36V Zero-Drift Operational Amplifier";"1.1mm";"Texas Instruments";"OPA2188AIDGKR";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14";"PTR1PAD1-13";"PTR1PAD1-13";"P1-13";"1.8VA, 1.8VD, 3V3, CLK, DACOUT, GND, GND10, IOUT+, IOUT-, SCLK, SDIO, SDO, VIN_NEG, VIN_POS";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"REG1117";"REG1117";"SOT223";"IC1, IC2";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";"";"";"";"";"";"";"REG1117";"1097566";"14P6981";"";"";"";"";"";"";"";
"1";"SW DSUB";"DSUB9RA";"DSUB9";"DSUB2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TL42PO";"TL42PO";"TL4XPO";"S3";"TINY SWITCH ON - MOM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
